,caltech101,cifar,dtd,oxford_flowers102,oxford_iiit_pet,sun397,svhn,patch_camelyon,resisc45,eurosat,diabetic_retinopathy,dmlab,kitti,smallnorb_azi,smallnorb_ele,dsprites_loc,dsprites_ori,clevr_dist,clevr_count
xavier,82.31,61.60,59.41,95.51,84.16,45.98,37.62,80.34,66.62,90.13,74.12,33.09,59.54,11.84,18.40,10.50,15.98,33.11,37.45
imdb,82.37,62.38,59.82,96.01,84.22,46.94,37.31,79.73,67.15,90.52,74.02,33.16,58.09,11.65,19.86,11.66,16.41,31.66,37.12
sst2,83.63,61.85,60.64,96.09,84.73,47.94,37.18,79.22,69.05,90.10,73.99,33.54,59.92,11.35,20.01,13.13,15.73,32.00,35.93
laptop,82.31,62.38,59.20,95.72,84.20,46.24,38.12,80.22,65.87,89.62,73.92,33.14,59.26,11.70,19.72,10.78,15.67,32.28,37.25
restaurant,82.44,62.66,59.98,95.97,84.73,46.32,37.80,80.33,66.91,90.82,74.04,33.96,59.68,11.68,20.16,9.57,15.77,32.08,37.42
movie,82.28,62.24,59.63,95.80,84.22,46.41,37.94,80.28,66.73,90.40,73.75,33.41,61.13,11.59,19.98,10.41,16.17,31.36,37.73
tweet,83.06,62.83,60.20,96.29,84.70,48.20,37.32,79.06,68.84,90.38,74.10,33.80,60.57,11.52,20.15,14.14,17.17,32.73,36.33
mnli,84.56,64.92,63.14,96.29,86.20,48.94,37.65,80.36,72.08,90.79,74.14,34.80,58.09,9.98,18.57,12.91,13.64,32.66,35.96
qnli,84.27,63.93,60.62,96.33,85.75,48.75,37.66,79.93,71.04,90.83,74.01,33.64,60.52,11.02,19.97,11.80,14.76,31.66,35.92
snli,84.75,65.56,62.59,96.55,86.20,49.46,37.16,80.32,71.32,90.00,73.94,34.82,58.60,10.85,18.64,11.58,14.30,31.53,36.68
deontology,82.97,62.21,59.33,95.84,84.48,48.10,37.83,78.90,68.30,90.24,74.10,33.32,60.80,11.43,19.68,13.90,16.89,32.18,36.46
justice,82.47,62.52,59.04,95.54,84.53,47.17,37.21,79.35,67.23,90.06,73.99,33.06,59.54,11.78,19.57,15.41,16.69,31.86,37.02
qqp,84.28,64.90,62.39,96.45,86.08,49.08,38.39,79.66,71.41,90.62,74.05,34.21,58.13,11.19,19.87,10.86,15.03,32.07,35.76
mrpc,82.50,62.49,58.48,95.09,84.14,46.34,38.04,78.86,66.27,88.90,73.96,33.46,61.04,12.07,19.33,11.81,16.72,31.97,37.30
