,caltech101,cifar,dtd,oxford_flowers102,oxford_iiit_pet,sun397,svhn,patch_camelyon,resisc45,eurosat,diabetic_retinopathy,dmlab,kitti,smallnorb_azi,smallnorb_ele,dsprites_loc,dsprites_ori,clevr_dist,clevr_count
xavier,87.66,74.28,65.12,97.58,87.67,51.02,66.47,79.62,76.66,93.33,74.24,37.59,66.95,16.47,23.21,62.25,30.25,53.04,45.62
imdb,88.31,78.18,64.97,97.99,88.42,51.70,75.04,80.09,79.63,94.11,74.36,40.04,71.68,21.50,24.87,68.55,38.42,56.38,52.77
sst2,88.40,79.52,66.60,97.93,88.57,52.14,78.35,79.73,80.86,95.22,74.53,41.95,75.86,22.72,26.12,66.98,39.74,57.20,55.24
laptop,87.78,75.61,64.54,97.48,87.64,50.91,63.63,79.39,76.16,93.32,74.40,37.22,65.92,16.82,23.98,57.97,30.62,52.46,45.34
restaurant,88.02,76.20,64.91,97.69,87.86,51.10,68.12,79.44,76.78,93.46,74.24,37.86,69.81,18.62,23.86,60.73,36.51,53.58,48.72
movie,87.54,75.49,64.58,97.45,87.47,51.12,64.30,78.95,76.95,93.22,74.37,36.88,66.62,16.35,23.40,62.74,32.72,53.93,44.38
tweet,88.28,78.94,66.24,97.94,88.64,52.15,78.35,80.17,80.07,95.17,74.42,41.53,75.25,21.63,26.26,63.91,41.32,56.55,55.01
mnli,88.67,80.49,68.44,98.22,89.02,52.64,82.04,80.91,81.92,95.66,74.49,43.37,76.84,21.05,26.49,70.33,41.72,58.44,58.52
qnli,88.37,80.12,67.27,98.04,88.46,52.18,81.01,79.75,81.16,95.77,74.76,43.45,76.98,23.36,26.33,65.70,41.55,57.21,57.67
snli,89.04,80.77,68.33,98.19,88.62,52.27,82.58,80.60,82.01,95.75,74.55,43.11,76.47,21.72,26.81,72.46,42.35,57.91,62.60
deontology,88.40,78.26,65.32,97.69,87.85,51.81,76.50,79.61,78.08,94.01,74.37,41.43,74.31,22.51,26.04,63.31,39.11,56.36,53.02
justice,88.42,77.87,64.86,97.82,87.82,51.08,76.56,79.59,79.04,94.28,74.24,40.69,72.53,20.74,25.44,67.06,38.11,56.00,52.27
qqp,88.66,80.98,67.91,98.20,88.41,52.27,82.45,80.98,81.54,95.54,74.76,43.61,76.56,23.61,28.27,70.73,40.85,57.57,56.14
mrpc,88.26,76.92,64.63,97.59,87.67,50.93,73.16,79.12,77.00,93.53,74.29,38.59,71.73,19.80,24.72,66.23,37.99,55.69,51.75
